EventID,event_name,SampleID,sample,tblSampleID,ices_area,fao_code,catch_date,age,length,weight,maturity,sex,prep_method,stock,reader_number,expertise,country,institute,iso_code,reader,AnnotationID,FishID,IsApproved,strata,AQ_Score,Edge,Nucleus,Comment,tblSmartImageID,ImageName
534,IMR North Sea herring age reading (internal),38419_019,92135,126307,27.4.a,27.4.a,18/05/2022 00:00:00,2,210,96,,F,Whole in Entellan,her.27.3a47d,4,1,NORWAY,,NO,R04 NO,779547,38419_019,1,27.4.a,AQ1,,,,92135,38419_019.jpg
534,IMR North Sea herring age reading (internal),38419_019,92135,126307,27.4.a,27.4.a,18/05/2022 00:00:00,2,210,96,,F,Whole in Entellan,her.27.3a47d,6,1,NORWAY,,NO,R06 NO,788840,38419_019,1,27.4.a,AQ1,,,,92135,38419_019.jpg
534,IMR North Sea herring age reading (internal),38419_019,92135,126307,27.4.a,27.4.a,18/05/2022 00:00:00,2,210,96,,F,Whole in Entellan,her.27.3a47d,10,1,NORWAY,,NO,R10 NO,787243,38419_019,1,27.4.a,AQ1,,,,92135,38419_019.jpg
534,IMR North Sea herring age reading (internal),38419_019,92135,126307,27.4.a,27.4.a,18/05/2022 00:00:00,2,210,96,,F,Whole in Entellan,her.27.3a47d,12,1,NORWAY,,NO,R12 NO,802225,38419_019,1,27.4.a,AQ1,,,,92135,38419_019.jpg
534,IMR North Sea herring age reading (internal),38419_019,92135,126307,27.4.a,27.4.a,18/05/2022 00:00:00,2,210,96,,F,Whole in Entellan,her.27.3a47d,14,1,NORWAY,,NO,R14 NO,786822,38419_019,1,27.4.a,AQ1,,,,92135,38419_019.jpg
534,IMR North Sea herring age reading (internal),38419_019,92135,126307,27.4.a,27.4.a,18/05/2022 00:00:00,2,210,96,,F,Whole in Entellan,her.27.3a47d,16,1,NORWAY,,NO,R16 NO,787800,38419_019,1,27.4.a,AQ1,,,,92135,38419_019.jpg
534,IMR North Sea herring age reading (internal),38419_049,92165,126337,27.4.a,27.4.a,18/05/2022 00:00:00,2,215,87,,F,Whole in Entellan,her.27.3a47d,2,1,NORWAY,,NO,R02 NO,754913,38419_049,1,27.4.a,AQ1,,,,92165,38419_049.jpg
534,IMR North Sea herring age reading (internal),38419_049,92165,126337,27.4.a,27.4.a,18/05/2022 00:00:00,2,215,87,,F,Whole in Entellan,her.27.3a47d,4,1,NORWAY,,NO,R04 NO,779610,38419_049,1,27.4.a,AQ1,,,,92165,38419_049.jpg
534,IMR North Sea herring age reading (internal),38419_049,92165,126337,27.4.a,27.4.a,18/05/2022 00:00:00,2,215,87,,F,Whole in Entellan,her.27.3a47d,6,1,NORWAY,,NO,R06 NO,789566,38419_049,1,27.4.a,AQ1,,,,92165,38419_049.jpg
534,IMR North Sea herring age reading (internal),38419_049,92165,126337,27.4.a,27.4.a,18/05/2022 00:00:00,2,215,87,,F,Whole in Entellan,her.27.3a47d,10,1,NORWAY,,NO,R10 NO,787410,38419_049,1,27.4.a,AQ1,,,,92165,38419_049.jpg
534,IMR North Sea herring age reading (internal),38419_049,92165,126337,27.4.a,27.4.a,18/05/2022 00:00:00,2,215,87,,F,Whole in Entellan,her.27.3a47d,12,1,NORWAY,,NO,R12 NO,802304,38419_049,1,27.4.a,AQ1,,,,92165,38419_049.jpg
534,IMR North Sea herring age reading (internal),38419_049,92165,126337,27.4.a,27.4.a,18/05/2022 00:00:00,2,215,87,,F,Whole in Entellan,her.27.3a47d,14,1,NORWAY,,NO,R14 NO,786904,38419_049,1,27.4.a,AQ1,,,,92165,38419_049.jpg
534,IMR North Sea herring age reading (internal),38419_049,92165,126337,27.4.a,27.4.a,18/05/2022 00:00:00,2,215,87,,F,Whole in Entellan,her.27.3a47d,16,1,NORWAY,,NO,R16 NO,788181,38419_049,1,27.4.a,AQ1,,,,92165,38419_049.jpg
534,IMR North Sea herring age reading (internal),38419_048,92164,126336,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,89,,M,Whole in Entellan,her.27.3a47d,2,1,NORWAY,,NO,R02 NO,754910,38419_048,1,27.4.a,AQ1,,,,92164,38419_048.jpg
534,IMR North Sea herring age reading (internal),38419_048,92164,126336,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,89,,M,Whole in Entellan,her.27.3a47d,4,1,NORWAY,,NO,R04 NO,779608,38419_048,1,27.4.a,AQ1,,,,92164,38419_048.jpg
534,IMR North Sea herring age reading (internal),38419_048,92164,126336,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,89,,M,Whole in Entellan,her.27.3a47d,6,1,NORWAY,,NO,R06 NO,789564,38419_048,1,27.4.a,AQ1,,,,92164,38419_048.jpg
534,IMR North Sea herring age reading (internal),38419_048,92164,126336,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,89,,M,Whole in Entellan,her.27.3a47d,10,1,NORWAY,,NO,R10 NO,787402,38419_048,1,27.4.a,AQ1,,,,92164,38419_048.jpg
534,IMR North Sea herring age reading (internal),38419_048,92164,126336,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,89,,M,Whole in Entellan,her.27.3a47d,12,1,NORWAY,,NO,R12 NO,802301,38419_048,1,27.4.a,AQ1,,,,92164,38419_048.jpg
534,IMR North Sea herring age reading (internal),38419_048,92164,126336,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,89,,M,Whole in Entellan,her.27.3a47d,14,1,NORWAY,,NO,R14 NO,786901,38419_048,1,27.4.a,AQ1,,,,92164,38419_048.jpg
534,IMR North Sea herring age reading (internal),38419_048,92164,126336,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,89,,M,Whole in Entellan,her.27.3a47d,16,1,NORWAY,,NO,R16 NO,788171,38419_048,1,27.4.a,AQ1,,,,92164,38419_048.jpg
534,IMR North Sea herring age reading (internal),38419_028,92144,126316,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,F,Whole in Entellan,her.27.3a47d,2,1,NORWAY,,NO,R02 NO,754813,38419_028,1,27.4.a,AQ1,,,,92144,38419_028.jpg
534,IMR North Sea herring age reading (internal),38419_028,92144,126316,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,F,Whole in Entellan,her.27.3a47d,4,1,NORWAY,,NO,R04 NO,779567,38419_028,1,27.4.a,AQ1,,,,92144,38419_028.jpg
534,IMR North Sea herring age reading (internal),38419_028,92144,126316,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,F,Whole in Entellan,her.27.3a47d,6,1,NORWAY,,NO,R06 NO,789508,38419_028,1,27.4.a,AQ1,,,,92144,38419_028.jpg
534,IMR North Sea herring age reading (internal),38419_028,92144,126316,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,F,Whole in Entellan,her.27.3a47d,10,1,NORWAY,,NO,R10 NO,787262,38419_028,1,27.4.a,AQ1,,,,92144,38419_028.jpg
534,IMR North Sea herring age reading (internal),38419_028,92144,126316,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,F,Whole in Entellan,her.27.3a47d,12,1,NORWAY,,NO,R12 NO,802243,38419_028,1,27.4.a,AQ1,,,,92144,38419_028.jpg
534,IMR North Sea herring age reading (internal),38419_028,92144,126316,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,F,Whole in Entellan,her.27.3a47d,14,1,NORWAY,,NO,R14 NO,786840,38419_028,1,27.4.a,AQ1,,,,92144,38419_028.jpg
534,IMR North Sea herring age reading (internal),38419_028,92144,126316,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,F,Whole in Entellan,her.27.3a47d,16,1,NORWAY,,NO,R16 NO,788130,38419_028,1,27.4.a,AQ1,,,,92144,38419_028.jpg
534,IMR North Sea herring age reading (internal),38419_045,92161,126333,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,M,Whole in Entellan,her.27.3a47d,2,1,NORWAY,,NO,R02 NO,754903,38419_045,1,27.4.a,AQ1,,,,92161,38419_045.jpg
534,IMR North Sea herring age reading (internal),38419_045,92161,126333,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,M,Whole in Entellan,her.27.3a47d,4,1,NORWAY,,NO,R04 NO,779601,38419_045,1,27.4.a,AQ1,,,,92161,38419_045.jpg
534,IMR North Sea herring age reading (internal),38419_045,92161,126333,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,M,Whole in Entellan,her.27.3a47d,6,1,NORWAY,,NO,R06 NO,789557,38419_045,1,27.4.a,AQ1,,,,92161,38419_045.jpg
534,IMR North Sea herring age reading (internal),38419_045,92161,126333,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,M,Whole in Entellan,her.27.3a47d,10,1,NORWAY,,NO,R10 NO,787374,38419_045,1,27.4.a,AQ1,,,,92161,38419_045.jpg
534,IMR North Sea herring age reading (internal),38419_045,92161,126333,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,M,Whole in Entellan,her.27.3a47d,12,1,NORWAY,,NO,R12 NO,802294,38419_045,1,27.4.a,AQ1,,,,92161,38419_045.jpg
534,IMR North Sea herring age reading (internal),38419_045,92161,126333,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,M,Whole in Entellan,her.27.3a47d,14,1,NORWAY,,NO,R14 NO,786891,38419_045,1,27.4.a,AQ1,,,,92161,38419_045.jpg
534,IMR North Sea herring age reading (internal),38419_045,92161,126333,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,101,,M,Whole in Entellan,her.27.3a47d,16,1,NORWAY,,NO,R16 NO,788165,38419_045,1,27.4.a,AQ1,,,,92161,38419_045.jpg
534,IMR North Sea herring age reading (internal),38419_007,92123,126295,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,106,,M,Whole in Entellan,her.27.3a47d,2,1,NORWAY,,NO,R02 NO,754727,38419_007,1,27.4.a,AQ1,,,,92123,38419_007.jpg
534,IMR North Sea herring age reading (internal),38419_007,92123,126295,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,106,,M,Whole in Entellan,her.27.3a47d,4,1,NORWAY,,NO,R04 NO,779521,38419_007,1,27.4.a,AQ1,,,,92123,38419_007.jpg
534,IMR North Sea herring age reading (internal),38419_007,92123,126295,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,106,,M,Whole in Entellan,her.27.3a47d,6,1,NORWAY,,NO,R06 NO,788816,38419_007,1,27.4.a,AQ1,,,,92123,38419_007.jpg
534,IMR North Sea herring age reading (internal),38419_007,92123,126295,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,106,,M,Whole in Entellan,her.27.3a47d,10,1,NORWAY,,NO,R10 NO,787113,38419_007,1,27.4.a,AQ1,,,,92123,38419_007.jpg
534,IMR North Sea herring age reading (internal),38419_007,92123,126295,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,106,,M,Whole in Entellan,her.27.3a47d,12,1,NORWAY,,NO,R12 NO,802201,38419_007,1,27.4.a,AQ1,,,,92123,38419_007.jpg
534,IMR North Sea herring age reading (internal),38419_007,92123,126295,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,106,,M,Whole in Entellan,her.27.3a47d,14,1,NORWAY,,NO,R14 NO,786797,38419_007,1,27.4.a,AQ1,,,,92123,38419_007.jpg
534,IMR North Sea herring age reading (internal),38419_007,92123,126295,27.4.a,27.4.a,18/05/2022 00:00:00,2,220,106,,M,Whole in Entellan,her.27.3a47d,16,1,NORWAY,,NO,R16 NO,787709,38419_007,1,27.4.a,AQ1,,,,92123,38419_007.jpg
534,IMR North Sea herring age reading (internal),38419_010,92126,126298,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,112,,M,Whole in Entellan,her.27.3a47d,2,1,NORWAY,,NO,R02 NO,754733,38419_010,1,27.4.a,AQ2,,,,92126,38419_010.jpg
534,IMR North Sea herring age reading (internal),38419_010,92126,126298,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,112,,M,Whole in Entellan,her.27.3a47d,4,1,NORWAY,,NO,R04 NO,779527,38419_010,1,27.4.a,AQ2,,,"Ta med innerste ring? Eller er den metamorphic?",92126,38419_010.jpg
534,IMR North Sea herring age reading (internal),38419_010,92126,126298,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,112,,M,Whole in Entellan,her.27.3a47d,6,1,NORWAY,,NO,R06 NO,788824,38419_010,1,27.4.a,AQ1,,,,92126,38419_010.jpg
534,IMR North Sea herring age reading (internal),38419_010,92126,126298,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,112,,M,Whole in Entellan,her.27.3a47d,10,1,NORWAY,,NO,R10 NO,787119,38419_010,1,27.4.a,AQ1,,,,92126,38419_010.jpg
534,IMR North Sea herring age reading (internal),38419_010,92126,126298,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,112,,M,Whole in Entellan,her.27.3a47d,12,1,NORWAY,,NO,R12 NO,802207,38419_010,1,27.4.a,AQ1,,,,92126,38419_010.jpg
534,IMR North Sea herring age reading (internal),38419_010,92126,126298,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,112,,M,Whole in Entellan,her.27.3a47d,14,1,NORWAY,,NO,R14 NO,786803,38419_010,1,27.4.a,AQ2,,,,92126,38419_010.jpg
534,IMR North Sea herring age reading (internal),38419_010,92126,126298,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,112,,M,Whole in Entellan,her.27.3a47d,16,1,NORWAY,,NO,R16 NO,787730,38419_010,1,27.4.a,AQ1,,,,92126,38419_010.jpg
534,IMR North Sea herring age reading (internal),38419_029,92145,126317,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,122,,M,Whole in Entellan,her.27.3a47d,2,1,NORWAY,,NO,R02 NO,754817,38419_029,1,27.4.a,AQ1,,,,92145,38419_029.jpg
534,IMR North Sea herring age reading (internal),38419_029,92145,126317,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,122,,M,Whole in Entellan,her.27.3a47d,4,1,NORWAY,,NO,R04 NO,779569,38419_029,1,27.4.a,AQ1,,,,92145,38419_029.jpg
534,IMR North Sea herring age reading (internal),38419_029,92145,126317,27.4.a,27.4.a,18/05/2022 00:00:00,2,225,122,,M,Whole in Entellan,her.27.3a47d,6,1,NORWAY,,NO,R06 NO,789511,38419_029,1,27.4.a,AQ1,,,,92145,38419_029.jpg
